Electricity generation by source (unit: TWh),,,,,,,,,,,
Year: 2030,,,,,,,,,,,
Fuel type,Benchmark,Advanced clean technology ,Conservative clean technology,High GDP,Low GDP,Fast coal phase out,Slow coal phase out,High oil prices,Low oil prices,High natural gas prices,Low natural gas prices
Coal,97.8,99.1,97.9,92.1,103.4,77.5,107.9,100.7,95.9,117.6,90.8
Coal CCS,27.6,27.8,25.6,31,24.1,28.5,27.2,27.5,27.7,34.7,25.7
Nuclear,218,218,218,218,218,218,218,218,218,218,218
Natural Gas,166.9,155.5,175.2,170,162.7,186.6,156.7,168.7,165.7,119.5,182.7
Natural Gas CCS,8.1,7.4,8.5,9.9,6.5,6.7,8.9,7.8,8.2,6.1,8.8
Biomass,9.5,9.2,9.1,10,8.8,10.1,9.1,9.5,9.5,11.2,9
Biomass CCS,1.1,0.9,1.3,1.6,0.7,0.6,1.5,1,1.1,1,1.1
Hydro,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2
Solar,95.2,109.6,68,100.3,89.7,95.1,95.4,95.1,95.2,100.6,93.4
Wind,72.7,85.4,69.1,78.5,66.3,72.6,72.9,72.4,72.8,80.3,70.3
Oil,6,5.4,6.7,6,6,7.2,5.5,4.6,6.9,7.9,5.4
Oil CCS,2.3,2.3,2.2,2.6,2,2.1,2.3,1.8,2.6,2.8,2.1
,,,,,,,,,,,
Year: 2035,,,,,,,,,,,
Fuel type,Benchmark,Advanced clean technology ,Conservative clean technology,High GDP,Low GDP,Fast coal phase out,Slow coal phase out,High oil prices,Low oil prices,High natural gas prices,Low natural gas prices
Coal,43.02,41.65,45.34,40.77,47.93,28.63,52.69,53.65,40.97,80.14,31.34
Coal CCS,39.23,39.32,38.01,44.86,33.85,40.48,38.33,37.85,39.1,53.9,34.31
Nuclear,245.41,245.41,245.41,245.41,245.41,245.41,245.41,245.41,245.41,245.41,245.41
Natural Gas,140.63,126.81,149.72,144.53,137.9,150.45,134.26,148.76,138.04,67.87,166.87
Natural Gas CCS,15.6,13.91,17.14,19.16,12.32,14.61,16.09,13.65,15.83,6.63,19.8
Biomass,9.92,9.41,9.75,10.36,9.41,10.63,9.38,10.2,9.78,13.35,8.96
Biomass CCS,7.65,6.57,8.44,10.64,4.91,6.76,8.44,4.55,8.25,5.43,8.05
Hydro,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99
Solar,129.02,152.55,98.85,138.25,120.42,129.38,128.65,127.12,128.79,138.59,125.27
Wind,105.4,119.33,104.06,114.33,96.64,105.66,105.04,102.97,105.33,115.85,101.17
Oil,4.32,3.71,4.81,4.45,4.2,4.53,4.17,3,5.47,6.5,3.56
Oil CCS,2.47,2.17,2.74,3.01,1.97,2.45,2.46,1.44,3.33,3.29,2.17
