Primary Energy Consumption by source (unit: EJ),,,,,,,,,,,
Year: 2030,,,,,,,,,,,
Fuel type,Benchmark,Advanced clean technology ,Conservative clean technology,High GDP,Low GDP,Fast coal phase out,Slow coal phase out,High oil prices,Low oil prices,High natural gas prices,Low natural gas prices
Oil,4.683,4.686,4.681,4.732,4.625,4.726,4.662,4.607,4.731,4.747,4.665
Oil CCS,0.017,0.017,0.017,0.020,0.015,0.016,0.018,0.014,0.020,0.022,0.016
Natural Gas,1.947,1.868,2.011,1.977,1.906,2.112,1.859,1.971,1.931,1.388,2.116
Natural Gas CCS,0.055,0.051,0.058,0.068,0.044,0.047,0.061,0.054,0.057,0.038,0.061
Coal,1.725,1.761,1.696,1.659,1.795,1.603,1.792,1.759,1.704,1.909,1.665
Coal CCS,0.279,0.280,0.261,0.314,0.244,0.289,0.276,0.278,0.280,0.352,0.260
Biomass,0.581,0.563,0.597,0.605,0.550,0.570,0.585,0.581,0.579,0.777,0.539
Biomass CCS,0.022,0.018,0.027,0.032,0.014,0.013,0.030,0.020,0.023,0.025,0.021
Nuclear,0.504,0.503,0.505,0.504,0.504,0.504,0.504,0.504,0.504,0.505,0.503
Hydro,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019
Wind,0.271,0.319,0.259,0.293,0.248,0.271,0.272,0.271,0.272,0.300,0.262
Solar,0.353,0.406,0.253,0.372,0.333,0.353,0.354,0.353,0.353,0.374,0.347
,,,,,,,,,,,
Year: 2035,,,,,,,,,,,
Fuel type,Benchmark,Advanced clean technology ,Conservative clean technology,High GDP,Low GDP,Fast coal phase out,Slow coal phase out,High oil prices,Low oil prices,High natural gas prices,Low natural gas prices
Oil,4.327,4.325,4.319,4.373,4.226,4.336,4.316,4.022,4.408,4.417,4.281
Oil CCS,0.018,0.016,0.020,0.022,0.014,0.018,0.018,0.010,0.024,0.024,0.016
Natural Gas,1.638,1.551,1.711,1.683,1.616,1.710,1.588,1.758,1.605,0.623,1.947
Natural Gas CCS,0.106,0.095,0.116,0.130,0.084,0.099,0.110,0.093,0.108,0.030,0.140
Coal,0.943,0.959,0.939,0.914,1.000,0.848,1.013,1.050,0.921,1.272,0.848
Coal CCS,0.391,0.392,0.379,0.447,0.337,0.403,0.383,0.377,0.390,0.540,0.342
Biomass,0.727,0.689,0.747,0.798,0.680,0.725,0.728,0.832,0.723,1.243,0.636
Biomass CCS,0.187,0.161,0.208,0.346,0.115,0.163,0.217,0.325,0.204,0.145,0.218
Nuclear,0.452,0.451,0.454,0.454,0.451,0.452,0.453,0.451,0.453,0.456,0.451
Hydro,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022,0.022
Wind,0.393,0.443,0.389,0.426,0.360,0.393,0.391,0.383,0.392,0.433,0.376
Solar,0.476,0.561,0.366,0.511,0.444,0.478,0.475,0.468,0.476,0.512,0.462
